profile,threads,iterations_per_thread,total_ops,work,mode,run,exit_code,wall_seconds,max_rss_kb,user_seconds,sys_seconds,target_elapsed_ns,bench_status,generated,consumed,dropped,loss_ppm,trace_integrity,stream_gaps,tainted_streams,total_violations
mixed,8,50000,400000,100,monitor,8,0,0.54,1920,1.03,1.8,532736236,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
mixed,8,50000,400000,100,baseline,8,0,0.28,1792,0.28,0.93,277006243,PASS,,,,,,,,
mixed,8,50000,400000,100,baseline,9,0,0.28,1792,0.29,0.94,283005298,PASS,,,,,,,,
mixed,8,50000,400000,100,monitor,9,0,0.55,1792,0.98,1.9,547111494,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
mixed,8,50000,400000,100,monitor,10,0,0.55,1920,1.06,1.86,548172471,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
mixed,8,50000,400000,100,baseline,10,0,0.28,1920,0.24,0.96,275629002,PASS,,,,,,,,
mixed,16,25000,400000,100,baseline,1,0,0.33,1792,0.32,3.14,326177273,PASS,,,,,,,,
mixed,16,25000,400000,100,monitor,1,0,0.57,2176,1.22,3.78,557805533,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,monitor,2,0,0.53,1920,1.35,3.69,545621770,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,baseline,2,0,0.31,1792,0.28,3.17,325205063,PASS,,,,,,,,
mixed,16,25000,400000,100,baseline,3,0,0.31,1792,0.31,3.11,319520979,PASS,,,,,,,,
mixed,16,25000,400000,100,monitor,3,0,0.54,2048,1.09,3.98,552234406,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,monitor,4,0,0.55,1920,1.34,3.76,559839702,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,baseline,4,0,0.32,1792,0.35,3.06,324418476,PASS,,,,,,,,
mixed,16,25000,400000,100,baseline,5,0,0.31,1792,0.3,3.12,320364616,PASS,,,,,,,,
mixed,16,25000,400000,100,monitor,5,0,0.55,1920,1.21,3.92,554955877,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,monitor,6,0,0.54,2048,1.21,3.86,548576540,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,baseline,6,0,0.32,1792,0.31,3.1,321152871,PASS,,,,,,,,
mixed,16,25000,400000,100,baseline,7,0,0.32,1792,0.33,3.08,321227127,PASS,,,,,,,,
mixed,16,25000,400000,100,monitor,7,0,0.56,2432,1.43,3.46,561527075,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,monitor,8,0,0.56,2048,1.3,3.73,560704043,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,baseline,8,0,0.32,1792,0.36,2.91,323701078,PASS,,,,,,,,
mixed,16,25000,400000,100,baseline,9,0,0.32,1920,0.28,3.05,318810040,PASS,,,,,,,,
mixed,16,25000,400000,100,monitor,9,0,0.55,2048,1.27,3.79,549446567,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,monitor,10,0,0.55,2048,1.2,3.87,547162615,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
mixed,16,25000,400000,100,baseline,10,0,0.31,1792,0.31,2.82,314840233,PASS,,,,,,,,
